fips,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011
370630001011,78,58,86,23,84,76,83,106,85,87,62,74
370630001012,114,161,160,45,143,146,109,159,165,169,126,104
370630001021,257,202,326,103,331,368,438,484,468,384,385,313
370630001022,53,82,147,31,105,136,70,83,98,65,96,57
370630002001,168,131,155,65,207,194,192,202,245,232,158,153
370630002002,198,152,205,70,161,146,163,125,137,112,102,98
370630002003,92,74,107,31,101,73,77,71,74,55,86,61
370630003011,140,165,211,79,209,211,257,164,164,177,175,145
370630003012,80,86,127,37,108,84,90,88,76,42,50,46
370630003013,66,88,107,36,80,72,55,48,42,43,32,22
370630003021,18,15,25,11,24,14,12,19,44,30,20,23
370630003022,125,104,131,62,185,142,101,86,86,67,72,51
370630003023,130,116,190,69,169,147,202,154,155,128,131,116
370630004011,30,26,30,9,30,47,57,44,44,51,29,29
370630004012,37,24,27,18,32,21,11,35,23,25,24,19
370630004013,10,10,17,17,35,32,37,42,20,16,12,15
370630004021,103,76,87,43,129,100,69,70,62,47,47,39
370630005001,4,0,4,1,2,4,15,1,14,2,0,0
370630005002,101,87,116,42,108,41,46,66,41,35,29,33
370630005003,179,151,226,77,175,169,148,191,160,113,136,97
370630005004,153,136,168,61,188,162,153,153,156,117,118,123
370630006001,156,120,189,56,174,180,207,226,210,161,193,170
370630006002,363,225,350,101,264,288,241,225,250,172,161,174
370630006003,2,0,7,1,3,0,2,2,2,1,3,2
370630007001,25,28,46,15,33,21,33,40,44,33,38,28
370630007002,35,21,69,26,53,64,60,54,92,85,57,26
370630007003,25,34,51,22,50,56,49,84,50,58,46,68
370630009001,127,112,122,52,111,90,99,136,107,93,91,62
370630009002,150,141,163,44,154,126,94,109,98,85,104,97
370630010011,95,114,103,35,99,78,96,88,100,118,97,81
370630010012,162,160,233,51,128,135,155,146,186,185,145,113
370630010013,168,146,182,55,186,165,163,159,166,174,155,112
370630010021,222,116,177,66,204,230,359,315,374,321,340,187
370630010022,75,76,124,31,92,107,113,125,112,106,102,105
370630010023,125,89,121,49,116,102,82,84,104,86,90,95
370630010024,155,139,167,49,160,135,98,108,146,137,141,161
370630011001,399,327,406,137,345,356,273,236,347,325,251,207
370630011002,187,197,218,66,191,172,137,137,155,117,81,47
370630013011,225,211,239,76,163,113,106,107,129,137,130,121
370630013031,93,73,104,53,125,123,112,96,111,120,78,89
370630013032,38,38,47,20,39,28,27,28,48,33,30,30
370630013041,175,260,385,177,438,452,240,260,439,435,417,437
370630014001,167,149,255,118,276,289,165,164,173,206,161,136
370630014002,329,309,434,218,510,499,338,294,350,447,327,307
370630015011,3,0,2,0,0,3,0,5,4,6,5,2
370630015021,151,121,227,74,254,233,272,401,320,173,228,228
370630015022,9,10,12,3,16,10,18,46,20,11,19,14
370630015023,180,150,147,76,207,184,213,138,180,151,119,84
370630015024,130,142,164,89,202,212,257,199,236,206,166,201
370630015031,2,0,0,0,0,0,0,0,0,0,0,0
370630016011,0,1,2,1,7,7,11,15,9,4,4,7
370630016012,26,25,20,8,26,15,11,31,36,46,46,32
370630016013,18,17,19,7,17,26,20,17,34,16,22,14
370630016031,1,0,34,3,1,1,2,5,2,2,8,12
370630016032,5,4,10,3,6,4,15,5,16,12,12,16
370630016033,3,4,5,2,2,6,14,20,15,12,9,3
370630016034,12,6,18,3,2,2,11,15,21,8,1,3
370630016041,1,3,5,1,5,1,12,15,12,18,1,8
370630016042,1,1,8,2,8,2,1,3,4,2,4,3
370630016043,4,3,4,0,1,5,7,4,8,12,8,17
370630017051,46,52,38,2,7,17,27,27,39,30,29,23
370630017052,22,10,31,2,28,33,37,35,44,32,26,22
370630017053,11,3,23,23,45,46,74,57,28,76,49,77
